,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id
82,0.471,0.329,0,-11.958,0,0.0312,0.78,0.0021,0.117,0.144,126.107,5PM1dIibpTR57jlugvjNSM
83,0.589,0.626,0,-5.684,1,0.0273,0.777,1.97e-06,0.13,0.443,114.915,4TobDQpylJNxkXMH1QUvTp
84,0.594,0.757,11,-5.381,1,0.0504,0.606,0.0,0.251,0.597,127.894,3x55c9UVpbURc2T02DLfEM
85,0.683,0.712,7,-5.925,1,0.0254,0.461,6.13e-05,0.317,0.473,99.987,02N5ZxOVugGQmKeIT0VXUx
86,0.499,0.683,6,-6.373,0,0.0334,0.703,0.00161,0.0749,0.295,134.95,1juJ3mwsFerctbngtK42G4
87,0.678,0.771,6,-2.849,1,0.0266,0.0277,0.00253,0.149,0.462,105.976,3s6H6UW7yPu2rsF8CGki60
88,0.574,0.841,4,-4.449,1,0.0948,0.399,1e-06,0.205,0.927,83.706,2iZeKe5avjtKVmjfSFkpxd
89,0.648,0.52,7,-8.543,1,0.0249,0.674,0.00129,0.0821,0.492,102.975,05REArTDZQd59A9Y4XC0Aq
90,0.687,0.419,9,-11.195,0,0.0512,0.687,0.00212,0.0742,0.555,125.008,01npLGQTbZBIHVRcXJbLzR
91,0.619,0.429,2,-7.867,1,0.028,0.738,1.35e-05,0.136,0.545,90.058,6udC4b4jOSnHb9ItnXgKLR
92,0.393,0.609,4,-5.954,1,0.0415,0.0558,2.22e-06,0.107,0.347,71.377,0up9rhm9qt2LW7cnoDFCMk
93,0.778,0.227,1,-16.191,1,0.0379,0.983,0.14,0.113,0.38,116.033,6nZiYSBwPQ7fYnVWkkkj4g
94,0.59,0.555,2,-6.861,1,0.0271,0.481,0.0,0.192,0.191,84.027,4bD9z9qa4qg9BhryvYWB7c
95,0.791,0.558,7,-7.155,0,0.0661,0.276,0.0,0.0859,0.872,95.077,3APdIdF8H0jsxSuGOqXedS
96,0.474,0.454,8,-8.334,1,0.0259,0.678,0.00175,0.313,0.338,85.046,43wLf5iwEFm65mp6K06kVy
97,0.694,0.734,5,-6.777,1,0.0305,0.161,0.0,0.347,0.79,113.977,4SGytwdo11Y5WYtnc29XTI
98,0.616,0.525,7,-7.065,1,0.0258,0.401,0.000484,0.309,0.427,79.976,3jtKSUiVDowKNBqVQbWaig
99,0.373,0.672,4,-5.797,1,0.0326,0.154,4.28e-05,0.321,0.47,84.503,7g6aSEWDA2S5z2A2oXjFkV
0,0.784,0.859,7,-6.019,1,0.188,0.0989,0.0,0.0812,0.515,93.704,165q0B6Q9edLh75vmbhNPs
1,0.766,0.809,4,-6.206,1,0.161,0.0227,0.000166,0.0796,0.803,91.987,2BOY77LvMTUOfLcnfFAJGl
2,0.643,0.714,8,-10.872,1,0.0762,0.0761,0.254,0.237,0.145,124.921,17nKwRSIrtwRseuNKTuH8D
3,0.909,0.906,1,-3.701,1,0.206,0.09,1.25e-05,0.287,0.625,121.996,7yn0E97MoGLBaW8mqIwqNr
4,0.752,0.879,0,-9.276,1,0.207,0.137,0.0,0.317,0.638,91.98,4hXnLzxxVrpQEMX4KUz5cH
5,0.774,0.783,0,-4.247,1,0.0857,0.0173,0.0,0.19,0.206,93.959,2kLFzLJgHtreNbNlbVzQy4
6,0.774,0.79,8,-8.483,1,0.0416,0.0488,0.00134,0.164,0.536,98.984,3SglaOPDd7NRathWQmjFfY
7,0.618,0.867,6,-5.1,0,0.139,0.239,0.0,0.0559,0.665,178.017,0dT6g7oqjEqphjXMk8MKHz
8,0.755,0.894,4,-8.544,0,0.0993,0.54,1.55e-05,0.141,0.799,104.985,6D3vmtskO4RbZP3bBIDY3X
9,0.588,0.836,4,-7.138,0,0.107,0.472,2.53e-05,0.176,0.217,124.984,4aO9pvX2kTJTdmJqc0YRsr
10,0.846,0.693,9,-8.041,1,0.217,0.784,0.000417,0.339,0.456,97.94,07qSl2sNpFNILaYyZ6yIS9
11,0.723,0.666,7,-7.028,0,0.0274,0.046,0.0,0.106,0.117,113.99,01d8tSqJUrPlK1l8FwgsCF
12,0.762,0.718,1,-5.039,1,0.12,0.105,1.93e-06,0.118,0.718,98.019,2r6UZZ1JdRsDlfIQHKDjST
13,0.554,0.882,6,-5.018,0,0.0488,0.091,2.8e-06,0.368,0.627,96.958,7k3jpyYPnVnbO0p7iejWxL
14,0.832,0.657,7,-7.755,1,0.209,0.0433,2.93e-05,0.0752,0.756,104.005,2qPNdVlqZl1cYqsNc3MXnA
15,0.465,0.836,6,-4.353,1,0.0632,0.0387,1.02e-05,0.13,0.224,169.9,4FcZBCb6dANhvsEnFlgJwG
16,0.34,0.96,1,-5.427,1,0.0802,0.238,4.32e-06,0.0378,0.475,150.04,6Ozx2ngGtXrqznTKhKBlrT
17,0.875,0.743,7,-5.674,1,0.0479,0.0768,0.0,0.0651,0.612,105.953,75XthnFP7DNG48s4gtNIkS
18,0.557,0.821,1,-7.794,0,0.0573,0.0189,0.0,0.0863,0.184,170.022,3FHl1QYu76zguwjqhqcglX
19,0.577,0.419,2,-12.126,0,0.0369,0.817,0.000127,0.0658,0.149,125.984,1FmZHc5UXiQRb0eqjkHLP5
20,0.64,0.743,5,-6.612,1,0.0524,0.0616,2.01e-05,0.25,0.727,94.972,7o1yzUVkQt2Gto5yYvzo2T
21,0.554,0.923,10,-5.42,0,0.0682,0.35,3.26e-05,0.69,0.278,127.998,2DYiisZs93UpoPqqALizFL
22,0.484,0.948,1,-4.296,0,0.451,0.0473,0.0,0.0565,0.686,125.645,6Kynli1iHBqJRWUCohcV9h
23,0.766,0.618,11,-8.552,0,0.124,0.0187,0.000115,0.181,0.513,95.054,5uaIbU3oHHcSOK6WFNK5nj
24,0.552,0.668,2,-9.111,1,0.0473,0.421,0.0117,0.159,0.152,95.032,3uZiNvBNQldjl4OJiKsuxe
25,0.669,0.866,2,-6.628,1,0.0499,0.0589,0.0,0.0463,0.288,119.992,3kSBSSsXtebECjCggW87yq
26,0.561,0.709,9,-10.247,1,0.0484,0.232,0.0,0.0992,0.509,115.006,0d54B7VI12WOMK8AoIWllf
27,0.586,0.899,5,-3.688,0,0.0518,0.0494,0.0,0.493,0.495,139.81,7wAJJ6CbMfNOTZFnjMMfOc
28,0.666,0.833,11,-7.48,0,0.0451,0.0141,8.12e-06,0.111,0.541,99.007,0mACGvgvCcwjfJCPFLeabh
29,0.595,0.815,4,-7.777,0,0.064,0.393,0.0,0.283,0.691,139.993,2xYbk2WDq38a0wuRyjT1mE
30,0.603,0.953,7,-4.087,0,0.0519,0.0648,0.0,0.494,0.493,105.02,59RXttbK7hgRfnMTMVg2xm
31,0.693,0.778,1,-8.087,0,0.248,0.555,0.0,0.094,0.282,125.025,1PZZtXR7nsNIyRcqd7UeiF
32,0.522,0.872,6,-8.847,1,0.0799,0.11,1.2e-05,0.0811,0.537,120.067,5zlB4HfyZ4C5EbgbHPkYIN
33,0.372,0.707,9,-9.093,0,0.0915,0.00128,0.357,0.307,0.146,133.79,2EnEn7XbjNJv5wHELEkiiA
34,0.538,0.859,4,-8.263,1,0.0759,0.246,0.0537,0.408,0.316,169.972,7CGgqjWiYXH7NmlaeTr9MO
35,0.594,0.832,11,-4.044,1,0.0397,0.107,0.000373,0.419,0.474,89.977,2T09SGsKR0gAeRr5k5rfUL
36,0.666,0.745,11,-10.419,1,0.0573,0.166,0.0652,0.0671,0.214,106.032,5Byhl7uKwvfxFIcyNqcObU
37,0.49,0.644,1,-7.834,1,0.0319,0.038,0.221,0.0705,0.0763,125.01,31P81AYZ6BXBvY3QO9aq3r
38,0.717,0.92,2,-5.779,1,0.09,0.0365,0.000825,0.693,0.532,131.996,3pjZQfBShK7O01QvtQwmcg
39,0.642,0.94,9,-5.274,1,0.102,0.15,0.0,0.0989,0.645,101.252,3JT0mVof65rIHpRZITwRx1
40,0.731,0.479,1,-12.977,1,0.0782,0.0663,0.00267,0.556,0.5,158.034,1qTk8adpwCPBBijUnjM97y
