,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id
4,0.701,0.681,9,-6.442,1,0.0466,0.134,0.0,0.064,0.81,122.539,3TAhWtQnpoL5Vl9VQPl9fU
5,0.845,0.659,9,-6.348,1,0.0373,0.159,0.0129,0.0782,0.547,125.965,4JQxGJ8jsKW8pOUVoAgOZr
6,0.468,0.854,11,-3.932,0,0.059,0.176,0.0,0.126,0.277,155.867,4xmkpE1Si5JL7NFxWrhV0S
7,0.593,0.967,9,-5.767,1,0.0907,0.166,2.54e-05,0.105,0.452,131.988,5cgKosPPj5Cs9a2JQufUc1
8,0.647,0.656,11,-8.632,1,0.0354,0.657,0.000163,0.343,0.453,119.965,1kcV2LJxt5v0s2cEGtEJ5i
9,0.696,0.704,1,-7.876,1,0.0423,0.167,0.0,0.155,0.426,124.972,0ZHILXmUaVSLEOCWxPQ1ga
10,0.574,0.971,11,-2.499,0,0.199,0.0407,0.0,0.122,0.435,129.906,0Kfooksbrhl5GytMKQ6TcK
11,0.611,0.462,0,-7.054,1,0.0646,0.558,1.01e-06,0.131,0.377,59.635,7npLlaPu9Mfno8hjk5OagD
12,0.839,0.869,0,-3.005,1,0.148,0.0817,0.0,0.323,0.605,125.026,5JlZLXvZBEFD9u8OoJq6Yh
13,0.727,0.458,0,-9.088,1,0.0406,0.22,0.021,0.129,0.399,124.968,0F2JKW9PYQgqSmyNM3IV2W
14,0.633,0.727,11,-4.104,0,0.0383,0.173,0.0,0.153,0.543,123.959,0oukMLKedsqQ3ltnI2daRO
15,0.862,0.818,0,-2.92,0,0.0957,0.38,0.0,0.301,0.543,100.066,36EPfDEkfLYQLt8Fvced8x
16,0.538,0.646,3,-7.187,1,0.05,0.308,0.0,0.196,0.288,128.045,3kHDA43cBTx63KEZm7M8rq
17,0.644,0.87,10,-4.816,1,0.0394,0.193,0.0,0.549,0.702,125.998,1dxbiVeiV7nQ2V9qXnhJiB
18,0.6,0.979,10,-3.513,1,0.243,0.138,0.0,0.1,0.453,137.06,06wTXKpDMrSp5OfB7MErpx
19,0.63,0.729,6,-4.93,1,0.0287,0.123,8e-06,0.0786,0.44,127.919,0zHZSO80CTxNtvtRhveHRJ
20,0.714,0.892,11,-5.342,0,0.0516,0.00145,0.000817,0.0462,0.899,134.997,4pE05HNzmVFGpCOfNKE3w6
