,id,popularity,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
44,0xkGTPTijMU84dtHr3KQQi,68,0.433,4,-8.958,1,0.0415,0.0726,0.0,0.123,0.207,169.92,341823,4
45,03soGwKeVQNKgD63sLas7R,0,0.187,3,-13.885,1,0.0326,0.159,0.0,0.0958,0.37,100.006,435493,4
46,3AQrBSjowqCFu2jiFFuGsv,53,0.908,7,-3.317,1,0.101,0.328,0.00371,0.077,0.734,104.962,203882,4
47,7fUMIEn7H6OYDOMQRMm1at,45,0.797,11,-4.395,0,0.224,0.0173,0.0,0.164,0.708,195.057,203077,3
48,7eYJ9NjhLPtCjyoJfWpfMr,49,0.539,9,-8.127,0,0.0593,0.572,0.0,0.323,0.29,140.078,250017,3
49,5CSEaABQkS1hoLza0IpK2r,63,0.856,0,-4.233,1,0.065,0.0984,6.62e-05,0.228,0.919,106.026,187006,4
50,2nk7w7liVyB4vkfjdQxMyH,40,0.894,3,-5.257,0,0.256,0.218,0.0,0.0982,0.705,89.932,176000,4
51,0biCSADTAblvLTLtJz4pXO,67,0.784,4,-5.207,0,0.0519,0.11,2.84e-06,0.227,0.26,96.953,237876,4
52,22DrqPUQfcOkv6QmjvHFcB,57,0.471,7,-7.025,0,0.0258,0.825,0.0,0.0993,0.381,99.017,275371,4
53,5BddgREMlA4QjKJLQF99fY,32,0.762,6,-4.51,0,0.0473,0.0718,2.34e-06,0.0401,0.543,113.034,202567,4
54,3InIAYQyi22mfV4g1T9Jkc,55,0.914,11,-3.917,0,0.0613,0.0958,0.0,0.115,0.651,104.014,276153,4
55,6HQbaD0RomfUPO4KK866oI,58,0.924,4,-4.481,0,0.142,0.00764,2.73e-06,0.557,0.506,135.968,306582,4
56,3vJidBra6TBhO022fk6h8b,50,0.805,2,-7.417,1,0.126,0.397,0.0,0.337,0.742,168.022,282008,4
57,04BwiKrOHzi0kjDlVbxv59,27,0.842,8,-4.58,0,0.308,0.22,0.0,0.808,0.78,134.9,297889,4
58,300DUx4tdtCdGEUXR032jA,64,0.625,10,-8.212,0,0.323,0.0351,0.000727,0.243,0.261,67.104,440013,4
59,17LZzRCY0iFWlDDuAG7BlM,55,0.901,3,-2.719,0,0.0508,0.126,0.0,0.0692,0.914,87.998,184410,4
60,6JNluWWlzWmrW1LKR5X2SN,52,0.903,4,-6.132,0,0.0725,0.0605,6.29e-06,0.232,0.628,110.004,296829,4
